Source:,C:\Users\manha\OneDrive\Desktop\BreadboarSchematic\BreadboarSchematic.kicad_sch,,,,,
,,,,,,
Date:,10/18/2022 11:07,,,,,
,,,,,,
Tool:,Eeschema (6.0.7),,,,,
,,,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,
,,,,,,
Component Count:,19,,,,,
,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
,,,,,,
"BT1, ",1,BH9VPC,BH9VPC,MyLib:BAT_BH9VPC,,
,,,,,,
"C1, C2, ",2,100uF,C_Polarized,Capacitor_SMD:CP_Elec_6.3x5.8,Polarized capacitor,
,,,,,,
"C3, C4, ",2,18pF,C,Capacitor_SMD:C_1206_3216Metric,Unpolarized capacitor,
,,,,,,
"J1, ",1,AVR-ISP-MK2,Conn_02x05_Odd_Even,Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Vertical,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",
,,,,,,
"J2, ",1,SKU 101020055,Conn_01x04,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",
,,,,,,
"J3, ",1,AMC0802BR-B-Y6WFDY-I2C,Conn_02x05_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",
,,,,,,
"LS1, ",1,PS1240P02BT,PS1240P02BT,MyLib:XDCR_PS1240P02BT,,
,,,,,,
"Q1, ",1,MMBT3904,MMBT3904,Package_TO_SOT_SMD:SOT-23,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-23",
,,,,,,
"R1, ",1,10k,R_US,Resistor_SMD:R_1206_3216Metric,"Resistor, US symbol",
,,,,,,
"R2, ",1,1k,R_US,Resistor_SMD:R_1206_3216Metric,"Resistor, US symbol",
,,,,,,
"R3, ",1,82k,R_US,Resistor_SMD:R_1206_3216Metric,"Resistor, US symbol",
,,,,,,
"R4, R5, ",2,4.7k,R_US,Resistor_SMD:R_1206_3216Metric,"Resistor, US symbol",
,,,,,,
"RV1, ",1,10k,R_Potentiometer,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,Potentiometer,
,,,,,,
"U1, ",1,LM7805_TO220,LM7805_TO220,Package_TO_SOT_THT:TO-220-3_Vertical,"Positive 1A 35V Linear Regulator, Fixed Output 5V, TO-220",
,,,,,,
"U2, ",1,ATmega328P-P,ATmega328PB-A,Package_QFP:TQFP-32_7x7mm_P0.8mm,"20MHz, 32kB Flash, 2kB SRAM, 1kB EEPROM, TQFP-32",
,,,,,,
"Y1, ",1,HC49-4H 16MHz,Crystal,Crystal:Crystal_SMD_ECS_CSM3X-2Pin_7.6x4.1mm,Two pin crystal,
,,,,,,
,4,M3x15+6mm Nylon Hex Male to Female Standoff,,,,
,4,M3x15mm Double Female Standoff,,,,
"SW1, ",1,108-0047-evx,SW_SPST,SamacSys_Parts:1080047EVX,Single Pole Single Throw (SPST) switch,
,,,,,,
"D1, ",1,/SML-LX1206SRW-TR,LED,BH9VPC:RESC3015X65,Light emitting diode,
